Date : 2025-05-14 11:16:25
Directory : /Users/neilluo/workspaces/storage/godis
Total : 145 files,  21127 codes, 1456 comments, 2613 blanks, all 25196 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/neilluo/workspaces/storage/godis/main.go                                   | Go               |         54 |          0 |          7 |         61 |
| /Users/neilluo/workspaces/storage/godis/node1.conf                                | Properties       |          9 |          0 |          3 |         12 |
| /Users/neilluo/workspaces/storage/godis/node2.conf                                | Properties       |          9 |          0 |          2 |         11 |
| /Users/neilluo/workspaces/storage/godis/node3.conf                                | Properties       |          9 |          0 |          2 |         11 |
| /Users/neilluo/workspaces/storage/godis/pubsub/hub.go                             | Go               |         15 |          4 |          4 |         23 |
| /Users/neilluo/workspaces/storage/godis/pubsub/pubsub.go                          | Go               |        121 |         15 |         23 |        159 |
| /Users/neilluo/workspaces/storage/godis/redis.conf                                | Properties       |          8 |          0 |          3 |         11 |
| /Users/neilluo/workspaces/storage/godis/redis/client/client.go                    | Go               |        196 |         10 |         23 |        229 |
| /Users/neilluo/workspaces/storage/godis/redis/client/client_test.go               | Go               |        129 |          0 |         14 |        143 |
| /Users/neilluo/workspaces/storage/godis/redis/connection/conn.go                  | Go               |        162 |         31 |         39 |        232 |
| /Users/neilluo/workspaces/storage/godis/redis/connection/fake.go                  | Go               |         93 |          6 |         12 |        111 |
| /Users/neilluo/workspaces/storage/godis/redis/parser/parser.go                    | Go               |        210 |          7 |         12 |        229 |
| /Users/neilluo/workspaces/storage/godis/redis/parser/parser_test.go               | Go               |         77 |          0 |          5 |         82 |
| /Users/neilluo/workspaces/storage/godis/redis/protocol/asserts/assert.go          | Go               |        136 |          9 |         12 |        157 |
| /Users/neilluo/workspaces/storage/godis/redis/protocol/consts.go                  | Go               |         52 |         16 |         27 |         95 |
| /Users/neilluo/workspaces/storage/godis/redis/protocol/errors.go                  | Go               |         52 |         13 |         22 |         87 |
| /Users/neilluo/workspaces/storage/godis/redis/protocol/reply.go                   | Go               |        134 |         32 |         34 |        200 |
| /Users/neilluo/workspaces/storage/godis/redis/server/pubsub_test.go               | Go               |         44 |          2 |          5 |         51 |
| /Users/neilluo/workspaces/storage/godis/redis/server/server.go                    | Go               |         95 |         11 |         12 |        118 |
| /Users/neilluo/workspaces/storage/godis/redis/server/server_test.go               | Go               |         41 |          0 |          4 |         45 |
| /Users/neilluo/workspaces/storage/godis/tcp/echo.go                               | Go               |         65 |         13 |         11 |         89 |
| /Users/neilluo/workspaces/storage/godis/tcp/echo_test.go                          | Go               |         79 |          1 |          9 |         89 |
| /Users/neilluo/workspaces/storage/godis/tcp/server.go                             | Go               |         79 |         11 |          9 |         99 |
| Total                                                                             |                  |     21,127 |      1,456 |      2,613 |     25,196 |
+-----------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
